Sp_pepid	domain_id	SourceDB	start	end	score	evalue
OSAJ_LOC_Os02g07170.1	G2-like	MueRoes	37	85	58.7	3.2e-17
OSAJ_LOC_Os02g07450.1	NF-YC	MueRoes	107	180	172.6	1.7e-51
OSAJ_LOC_Os02g07450.2	NF-YC	MueRoes	107	180	172.6	1.7e-51
OSAJ_LOC_Os02g07770.1	G2-like	MueRoes	21	69	72.6	2.1e-21
OSAJ_LOC_Os02g08500.1	G2-like	MueRoes	218	265	113.6	9.2e-34
OSAJ_LOC_Os02g14490.1	G2-like	MueRoes	122	170	58.7	3.1e-17
OSAJ_LOC_Os02g22020.1	G2-like	MueRoes	240	288	72.7	2e-21
OSAJ_LOC_Os02g33610.1	trihelix	MueRoes	791	854	105.4	2.9e-31
OSAJ_LOC_Os02g35600.1	Alfin-like	MueRoes	214	260	118.5	3.1e-35
OSAJ_LOC_Os02g35690.1	trihelix	MueRoes	64	131	84.6	5.2e-25
OSAJ_LOC_Os02g35690.2	trihelix	MueRoes	64	131	84.6	5.2e-25
OSAJ_LOC_Os02g43300.1	trihelix	MueRoes	396	459	134.6	4.5e-40
OSAJ_LOC_Os02g45080.1	G2-like	MueRoes	24	72	64.2	6.9e-19
OSAJ_LOC_Os02g46940.1	G2-like	MueRoes	200	248	61.2	5.5e-18
OSAJ_LOC_Os02g47190.1	G2-like	MueRoes	36	84	71.4	4.9e-21
OSAJ_LOC_Os02g47280.1	GRF	MueRoes	93	193	228.5	2.5e-68
OSAJ_LOC_Os02g47280.2	GRF	MueRoes	65	165	228.5	2.5e-68
OSAJ_LOC_Os02g49370.1	NF-YB	MueRoes	37	124	205.9	1.5e-61
OSAJ_LOC_Os02g49370.2	NF-YB	MueRoes	2	48	45	4.4e-13
OSAJ_LOC_Os02g49410.1	NF-YB	MueRoes	34	121	140.9	5.7e-42
OSAJ_LOC_Os02g53690.1	GRF	MueRoes	19	130	281.1	3.6e-84
OSAJ_LOC_Os02g55320.1	G2-like	MueRoes	219	266	121.6	3.6e-36
OSAJ_LOC_Os02g55560.1	DNC	MueRoes	49	62	29.8	1.6e-08
OSAJ_LOC_Os02g55560.2	DNC	MueRoes	49	62	29.8	1.6e-08
OSAJ_LOC_Os02g56880.1	LUFS	MueRoes	12	66	126.9	9.3e-38
OSAJ_LOC_Os03g02240.1	trihelix	MueRoes	419	482	130.7	6.8e-39
OSAJ_LOC_Os03g03760.1	G2-like	MueRoes	25	73	69	2.6e-20
OSAJ_LOC_Os03g12350.1	G2-like	MueRoes	207	254	117.6	5.8e-35
OSAJ_LOC_Os03g12350.2	G2-like	MueRoes	207	254	117.6	5.8e-35
OSAJ_LOC_Os03g12350.4	G2-like	MueRoes	207	254	117.6	5.8e-35
OSAJ_LOC_Os03g14669.1	NF-YC	MueRoes	71	144	171.9	2.6e-51
OSAJ_LOC_Os03g14669.2	NF-YC	MueRoes	71	144	171.9	2.6e-51
OSAJ_LOC_Os03g18330.1	trihelix	MueRoes	20	89	32.2	3e-09
OSAJ_LOC_Os03g18340.1	trihelix	MueRoes	21	89	31.1	6.5e-09
OSAJ_LOC_Os03g20900.1	G2-like	MueRoes	52	100	78.2	4.3e-23
OSAJ_LOC_Os03g21240.1	G2-like	MueRoes	221	269	72.4	2.5e-21
OSAJ_LOC_Os03g29970.1	NF-YB	MueRoes	29	116	218.5	2.6e-65
OSAJ_LOC_Os01g01290.1	NF-YC	MueRoes	45	118	124.4	5.3e-37
OSAJ_LOC_Os01g08160.1	G2-like	MueRoes	271	319	72.2	2.7e-21
OSAJ_LOC_Os01g08190.1	LUFS	MueRoes	17	71	121.9	3e-36
OSAJ_LOC_Os01g08190.2	LUFS	MueRoes	17	71	121.9	3e-36
OSAJ_LOC_Os01g08190.3	LUFS	MueRoes	17	71	121.9	3e-36
OSAJ_LOC_Os01g08190.5	LUFS	MueRoes	17	71	121.9	3e-36
OSAJ_LOC_Os03g45194.1	G2-like	MueRoes	390	441	46.1	2e-13
OSAJ_LOC_Os03g47140.1	GRF	MueRoes	93	191	234	5.6e-70
OSAJ_LOC_Os03g51200.1	NF-YC	MueRoes	30	103	8.9	4.8e-07
OSAJ_LOC_Os03g51970.1	GRF	MueRoes	12	116	260	8.3e-78
OSAJ_LOC_Os03g55590.1	G2-like	MueRoes	229	277	73.6	1.1e-21
OSAJ_LOC_Os03g55760.1	G2-like	MueRoes	125	173	62.8	1.9e-18
OSAJ_LOC_Os03g60390.1	Alfin-like	MueRoes	191	237	119	2.3e-35
OSAJ_LOC_Os03g63530.1	NF-YC	MueRoes	207	280	91.2	5.4e-27
OSAJ_LOC_Os03g63530.2	NF-YC	MueRoes	207	280	91.2	5.4e-27
OSAJ_LOC_Os03g64300.1	LUFS	MueRoes	12	66	124.7	4.4e-37
OSAJ_LOC_Os04g28130.1	G2-like	MueRoes	175	221	45.2	3.7e-13
OSAJ_LOC_Os04g36730.1	Alfin-like	MueRoes	203	249	115.8	2e-34
OSAJ_LOC_Os04g36790.1	trihelix	MueRoes	68	135	89.9	1.3e-26
OSAJ_LOC_Os04g40930.1	trihelix	MueRoes	49	112	119.4	1.7e-35
OSAJ_LOC_Os04g43130.1	LUFS	MueRoes	12	66	130.8	6.3e-39
OSAJ_LOC_Os04g45750.1	trihelix	MueRoes	281	344	135.2	2.9e-40
OSAJ_LOC_Os04g45750.2	trihelix	MueRoes	281	344	135.2	2.9e-40
OSAJ_LOC_Os04g47890.1	G2-like	MueRoes	27	75	68.1	4.9e-20
