Sp_pepid	Sp_ID	family_id	Type	Compartment
ALY_311286	ALY	MYB-related	Genome	NUC
ALY_311334	ALY	NAC	Genome	NUC
ALY_311447	ALY	NAC	Genome	NUC
ALY_311459	ALY	GNAT	Genome	NUC
ALY_311616	ALY	Orphans	Genome	NUC
ALY_311665	ALY	PHD	Genome	NUC
ALY_311756	ALY	MYB-related	Genome	NUC
ALY_311843	ALY	LOB	Genome	NUC
ALY_311885	ALY	bZIP	Genome	NUC
ALY_312099	ALY	bHLH	Genome	NUC
ALY_312283	ALY	AP2-EREBP	Genome	NUC
ALY_312456	ALY	C2H2	Genome	NUC
ALY_312501	ALY	AUX/IAA	Genome	NUC
ALY_312638	ALY	ABI3VP1	Genome	NUC
ALY_312706	ALY	Tify	Genome	NUC
ALY_312743	ALY	SET	Genome	NUC
ALY_312791	ALY	bHLH	Genome	NUC
ALY_312884	ALY	bZIP	Genome	NUC
ALY_312981	ALY	HB	Genome	NUC
ALY_313019	ALY	mTERF	Genome	NUC
ALY_313049	ALY	C3H	Genome	NUC
ALY_313265	ALY	Orphans	Genome	NUC
ALY_313311	ALY	C2C2-Dof	Genome	NUC
ALY_313613	ALY	C3H	Genome	NUC
ALY_313633	ALY	WRKY	Genome	NUC
ALY_313705	ALY	bHLH	Genome	NUC
ALY_313743	ALY	PLATZ	Genome	NUC
ALY_313821	ALY	NAC	Genome	NUC
ALY_313839	ALY	NAC	Genome	NUC
ALY_313859	ALY	NAC	Genome	NUC
ALY_313993	ALY	LOB	Genome	NUC
ALY_314222	ALY	MADS	Genome	NUC
ALY_314229	ALY	E2F-DP	Genome	NUC
ALY_314370	ALY	ABI3VP1	Genome	NUC
ALY_314403	ALY	C2H2	Genome	NUC
ALY_314555	ALY	HB	Genome	NUC
ALY_314948	ALY	MYB	Genome	NUC
ALY_315039	ALY	MYB	Genome	NUC
ALY_315177	ALY	mTERF	Genome	NUC
ALY_315190	ALY	mTERF	Genome	NUC
ALY_315244	ALY	NAC	Genome	NUC
ALY_315617	ALY	AP2-EREBP	Genome	NUC
ALY_315745	ALY	CAMTA	Genome	NUC
ALY_315900	ALY	TCP	Genome	NUC
ALY_316163	ALY	NAC	Genome	NUC
ALY_316221	ALY	AP2-EREBP	Genome	NUC
ALY_316423	ALY	Orphans	Genome	NUC
ALY_316589	ALY	SET	Genome	NUC
ALY_316871	ALY	GNAT	Genome	NUC
ALY_316902	ALY	AP2-EREBP	Genome	NUC
ALY_317082	ALY	WRKY	Genome	NUC
ALY_317287	ALY	MADS	Genome	NUC
ALY_317308	ALY	G2-like	Genome	NUC
ALY_317350	ALY	CPP	Genome	NUC
ALY_317360	ALY	GNAT	Genome	NUC
ALY_317462	ALY	TRAF	Genome	NUC
ALY_317478	ALY	ABI3VP1	Genome	NUC
ALY_317484	ALY	ABI3VP1	Genome	NUC
ALY_317584	ALY	FHA	Genome	NUC
ALY_317804	ALY	Trihelix	Genome	NUC
ALY_317848	ALY	NAC	Genome	NUC
ALY_317859	ALY	MYB-related	Genome	NUC
ALY_317904	ALY	ABI3VP1	Genome	NUC
ALY_317994	ALY	C3H	Genome	NUC
ALY_318431	ALY	SNF2	Genome	NUC
ALY_318458	ALY	CAMTA	Genome	NUC
ALY_318465	ALY	ABI3VP1	Genome	NUC
ALY_318665	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_318837	ALY	C2H2	Genome	NUC
ALY_318927	ALY	C2C2-CO-like	Genome	NUC
ALY_319024	ALY	AUX/IAA	Genome	NUC
ALY_319110	ALY	G2-like	Genome	NUC
ALY_319343	ALY	G2-like	Genome	NUC
ALY_319546	ALY	bHLH	Genome	NUC
ALY_319704	ALY	ARF	Genome	NUC
ALY_319764	ALY	SRS	Genome	NUC
ALY_319845	ALY	C3H	Genome	NUC
ALY_319846	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_319874	ALY	SET	Genome	NUC
ALY_319991	ALY	SRS	Genome	NUC
ALY_320036	ALY	WRKY	Genome	NUC
ALY_320100	ALY	MADS	Genome	NUC
ALY_320274	ALY	ABI3VP1	Genome	NUC
ALY_320424	ALY	MADS	Genome	NUC
ALY_320480	ALY	MYB-related	Genome	NUC
ALY_321080	ALY	C2C2-CO-like	Genome	NUC
ALY_321255	ALY	C3H	Genome	NUC
ALY_321332	ALY	bZIP	Genome	NUC
ALY_321463	ALY	MYB	Genome	NUC
ALY_321517	ALY	GNAT	Genome	NUC
ALY_321616	ALY	AP2-EREBP	Genome	NUC
ALY_321672	ALY	Orphans	Genome	NUC
ALY_321718	ALY	G2-like	Genome	NUC
ALY_321760	ALY	WRKY	Genome	NUC
ALY_321761	ALY	WRKY	Genome	NUC
ALY_321853	ALY	HSF	Genome	NUC
ALY_321945	ALY	G2-like	Genome	NUC
ALY_321962	ALY	MADS	Genome	NUC
ALY_322019	ALY	MYB-related	Genome	NUC
ALY_322202	ALY	GRF	Genome	NUC
ALY_322266	ALY	WRKY	Genome	NUC
ALY_322281	ALY	bZIP	Genome	NUC
ALY_322431	ALY	TUB	Genome	NUC
ALY_322721	ALY	G2-like	Genome	NUC
ALY_322901	ALY	MYB	Genome	NUC
ALY_322910	ALY	LOB	Genome	NUC
ALY_323008	ALY	C2H2	Genome	NUC
ALY_323163	ALY	C3H	Genome	NUC
ALY_323305	ALY	ABI3VP1	Genome	NUC
ALY_323436	ALY	TRAF	Genome	NUC
ALY_323669	ALY	C2C2-GATA	Genome	NUC
ALY_323737	ALY	HMG	Genome	NUC
ALY_323835	ALY	GRF	Genome	NUC
ALY_323881	ALY	S1Fa-like	Genome	NUC
ALY_324038	ALY	SET	Genome	NUC
ALY_324164	ALY	NAC	Genome	NUC
ALY_324178	ALY	bZIP	Genome	NUC
ALY_324207	ALY	bHLH	Genome	NUC
ALY_324222	ALY	TRAF	Genome	NUC
ALY_324546	ALY	HB	Genome	NUC
ALY_324558	ALY	MYB	Genome	NUC
ALY_324601	ALY	WRKY	Genome	NUC
ALY_324904	ALY	MYB	Genome	NUC
ALY_324943	ALY	MYB-related	Genome	NUC
ALY_325029	ALY	HB	Genome	NUC
ALY_325146	ALY	C2H2	Genome	NUC
ALY_325295	ALY	C3H	Genome	NUC
ALY_325322	ALY	CCAAT	Genome	NUC
ALY_325325	ALY	WRKY	Genome	NUC
ALY_325337	ALY	ARR-B	Genome	NUC
ALY_325766	ALY	C3H	Genome	NUC
ALY_325871	ALY	NAC	Genome	NUC
ALY_325972	ALY	HB	Genome	NUC
ALY_326242	ALY	NAC	Genome	NUC
ALY_326585	ALY	C2H2	Genome	NUC
ALY_326748	ALY	NAC	Genome	NUC
ALY_326806	ALY	AP2-EREBP	Genome	NUC
ALY_327351	ALY	MYB	Genome	NUC
ALY_327388	ALY	PHD	Genome	NUC
ALY_327396	ALY	WRKY	Genome	NUC
ALY_327634	ALY	NAC	Genome	NUC
ALY_327641	ALY	bHLH	Genome	NUC
ALY_327672	ALY	MYB-related	Genome	NUC
ALY_327681	ALY	C2C2-Dof	Genome	NUC
ALY_327725	ALY	bHLH	Genome	NUC
ALY_327750	ALY	LOB	Genome	NUC
ALY_327841	ALY	BBR/BPC	Genome	NUC
ALY_328081	ALY	HB	Genome	NUC
ALY_328082	ALY	Orphans	Genome	NUC
ALY_328110	ALY	MADS	Genome	NUC
ALY_328475	ALY	Tify	Genome	NUC
ALY_328503	ALY	AUX/IAA	Genome	NUC
ALY_328525	ALY	HB	Genome	NUC
ALY_328538	ALY	SNF2	Genome	NUC
ALY_328547	ALY	WRKY	Genome	NUC
ALY_328561	ALY	ABI3VP1	Genome	NUC
ALY_328581	ALY	C2H2	Genome	NUC
ALY_328625	ALY	WRKY	Genome	NUC
ALY_328786	ALY	NAC	Genome	NUC
ALY_328881	ALY	MYB	Genome	NUC
ALY_328890	ALY	GNAT	Genome	NUC
ALY_329038	ALY	WRKY	Genome	NUC
ALY_329065	ALY	TRAF	Genome	NUC
ALY_329122	ALY	C3H	Genome	NUC
ALY_329405	ALY	PHD	Genome	NUC
ALY_329411	ALY	WRKY	Genome	NUC
ALY_329503	ALY	bHLH	Genome	NUC
ALY_329901	ALY	C2C2-GATA	Genome	NUC
ALY_329983	ALY	C2C2-CO-like	Genome	NUC
ALY_330015	ALY	PHD	Genome	NUC
ALY_330465	ALY	MYB	Genome	NUC
ALY_330471	ALY	MYB	Genome	NUC
ALY_330738	ALY	ABI3VP1	Genome	NUC
ALY_331130	ALY	ABI3VP1	Genome	NUC
ALY_331146	ALY	BBR/BPC	Genome	NUC
ALY_331156	ALY	Jumonji	Genome	NUC
ALY_331662	ALY	RWP-RK	Genome	NUC
ALY_331771	ALY	MYB	Genome	NUC
ALY_331925	ALY	MYB	Genome	NUC
ALY_331950	ALY	TRAF	Genome	NUC
ALY_332063	ALY	ABI3VP1	Genome	NUC
ALY_332092	ALY	bHLH	Genome	NUC
ALY_332123	ALY	OFP	Genome	NUC
ALY_332471	ALY	NAC	Genome	NUC
ALY_332532	ALY	Jumonji	Genome	NUC
ALY_332593	ALY	SWI/SNF-BAF60b	Genome	NUC
ALY_332814	ALY	MYB-related	Genome	NUC
ALY_332832	ALY	GRAS	Genome	NUC
ALY_332869	ALY	AP2-EREBP	Genome	NUC
ALY_332870	ALY	AP2-EREBP	Genome	NUC
ALY_332898	ALY	HB	Genome	NUC
ALY_332974	ALY	SET	Genome	NUC
ALY_333262	ALY	Tify	Genome	NUC
ALY_333453	ALY	C2H2	Genome	NUC
ALY_333455	ALY	C2H2	Genome	NUC
ALY_333554	ALY	NAC	Genome	NUC
ALY_333558	ALY	NAC	Genome	NUC
ALY_333565	ALY	bHLH	Genome	NUC
ALY_333922	ALY	bHLH	Genome	NUC
ALY_334085	ALY	CCAAT	Genome	NUC
ALY_334119	ALY	C2H2	Genome	NUC
ALY_334149	ALY	Jumonji	Genome	NUC
ALY_334927	ALY	MYB	Genome	NUC
ALY_335126	ALY	MYB	Genome	NUC
ALY_335127	ALY	MYB	Genome	NUC
ALY_335144	ALY	WRKY	Genome	NUC
ALY_335174	ALY	ARF	Genome	NUC
ALY_335316	ALY	HB	Genome	NUC
ALY_335492	ALY	bHLH	Genome	NUC
ALY_335587	ALY	C2C2-YABBY	Genome	NUC
ALY_335662	ALY	Orphans	Genome	NUC
ALY_335709	ALY	NAC	Genome	NUC
ALY_335722	ALY	MYB	Genome	NUC
ALY_336031	ALY	WRKY	Genome	NUC
ALY_336095	ALY	MADS	Genome	NUC
ALY_336188	ALY	Jumonji	Genome	NUC
ALY_336483	ALY	NAC	Genome	NUC
ALY_336503	ALY	ARF	Genome	NUC
ALY_336732	ALY	CSD	Genome	NUC
ALY_337099	ALY	C3H	Genome	NUC
ALY_337131	ALY	bHLH	Genome	NUC
ALY_337643	ALY	WRKY	Genome	NUC
ALY_337685	ALY	TAZ	Genome	NUC
ALY_337754	ALY	CCAAT	Genome	NUC
ALY_338071	ALY	GRAS	Genome	NUC
ALY_338146	ALY	HB	Genome	NUC
ALY_338172	ALY	mTERF	Genome	NUC
ALY_338390	ALY	MADS	Genome	NUC
ALY_338787	ALY	RWP-RK	Genome	NUC
ALY_338851	ALY	MYB	Genome	NUC
ALY_338870	ALY	WRKY	Genome	NUC
ALY_338960	ALY	TCP	Genome	NUC
ALY_339050	ALY	PHD	Genome	NUC
ALY_339072	ALY	MYB	Genome	NUC
ALY_339154	ALY	SBP	Genome	NUC
ALY_339216	ALY	WRKY	Genome	NUC
ALY_339498	ALY	CCAAT	Genome	NUC
